,base_market,quote_market,p_value,t_value,c_value,hedge_ratio,half_life,zero_crossings,zscore,base_side,quote_side
0,LTC-USD,BCH-USD,0.04,-3.44,-3.35,0.31,12.0,43,-0.4,BUY,SELL
1,LTC-USD,COMP-USD,0.03,-3.58,-3.35,1.35,9.0,64,1.07,SELL,BUY
2,LTC-USD,XLM-USD,0.02,-3.66,-3.35,591.37,6.0,56,-2.51,BUY,SELL
3,LTC-USD,ETC-USD,0.0,-4.26,-3.35,3.67,13.0,34,2.31,SELL,BUY
4,CELO-USD,TRX-USD,0.04,-3.45,-3.35,5.2,13.0,41,-0.25,BUY,SELL
5,ICP-USD,UMA-USD,0.05,-3.37,-3.35,2.47,9.0,57,-1.6,BUY,SELL
6,BCH-USD,COMP-USD,0.02,-3.73,-3.35,4.38,14.0,60,1.09,SELL,BUY
7,BCH-USD,ETC-USD,0.0,-5.67,-3.35,11.9,14.0,44,2.05,SELL,BUY
8,LINK-USD,XLM-USD,0.03,-3.57,-3.35,121.52,12.0,35,0.27,SELL,BUY
9,LINK-USD,CRV-USD,0.04,-3.44,-3.35,25.13,11.0,54,2.2,SELL,BUY
10,COMP-USD,ZEC-USD,0.01,-4.1,-3.35,1.79,11.0,58,0.64,SELL,BUY
11,ADA-USD,BTC-USD,0.0,-4.35,-3.35,0.0,10.0,48,-1.97,BUY,SELL
12,XLM-USD,TRX-USD,0.01,-3.95,-3.35,1.16,15.0,31,1.15,SELL,BUY
13,XLM-USD,ETC-USD,0.0,-7.23,-3.35,0.01,11.0,40,2.66,SELL,BUY
14,XMR-USD,ETH-USD,0.01,-3.92,-3.35,0.08,13.0,41,-0.24,BUY,SELL
15,ATOM-USD,TRX-USD,0.02,-3.66,-3.35,88.83,13.0,44,-2.09,BUY,SELL
16,1INCH-USD,CRV-USD,0.02,-3.62,-3.35,0.62,14.0,45,-0.22,BUY,SELL
17,TRX-USD,CRV-USD,0.02,-3.7,-3.35,0.18,12.0,39,2.44,SELL,BUY
18,TRX-USD,ZEC-USD,0.02,-3.75,-3.35,0.0,11.0,43,2.12,SELL,BUY
19,CRV-USD,ZEC-USD,0.01,-3.86,-3.35,0.02,15.0,38,-1.13,BUY,SELL
20,UMA-USD,BTC-USD,0.02,-3.64,-3.35,0.0,12.0,49,1.58,SELL,BUY
